Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2024-06-20,1592.68994140625,1592.68994140625,1596.27001953125,1590.3699951171875,1596.27001953125,189841500,2024-06-20,1592.68994140625
2024-06-21,1590.3699951171875,1590.3699951171875,1598.1600341796875,1590.0,1593.4100341796875,497243500,2024-06-21,1590.3699951171875
2024-06-24,1589.6600341796875,1589.6600341796875,1594.0899658203125,1582.780029296875,1589.8699951171875,218922400,2024-06-24,1589.6600341796875
2024-06-25,1585.3800048828125,1585.3800048828125,1594.7099609375,1582.3499755859375,1589.7099609375,229698100,2024-06-25,1585.3800048828125
2024-06-26,1590.949951171875,1590.949951171875,1593.4200439453125,1581.760009765625,1586.3900146484375,203208300,2024-06-26,1590.949951171875
2024-06-27,1584.93994140625,1584.93994140625,1592.260009765625,1582.31005859375,1591.530029296875,198108200,2024-06-27,1584.93994140625
2024-06-28,1590.0899658203125,1590.0899658203125,1590.0899658203125,1581.52001953125,1583.530029296875,213091600,2024-06-28,1590.0899658203125
2024-07-01,1598.199951171875,1598.199951171875,1598.3599853515625,1587.030029296875,1590.260009765625,163914800,2024-07-01,1598.199951171875
2024-07-02,1597.9599609375,1597.9599609375,1602.52001953125,1595.6199951171875,1598.5799560546875,232831300,2024-07-02,1597.9599609375
2024-07-03,1615.3199462890625,1615.3199462890625,1615.3199462890625,1599.5999755859375,1599.5999755859375,207024100,2024-07-03,1615.3199462890625
2024-07-04,1616.75,1616.75,1619.75,1614.7099609375,1615.9599609375,213023400,2024-07-04,1616.75
2024-07-05,1611.02001953125,1611.02001953125,1616.260009765625,1608.4100341796875,1615.760009765625,151108400,2024-07-05,1611.02001953125
2024-07-09,1614.4200439453125,1614.4200439453125,1618.02001953125,1613.1500244140625,1617.1400146484375,251992400,2024-07-09,1614.4200439453125
2024-07-10,1618.3800048828125,1618.3800048828125,1620.8299560546875,1613.6500244140625,1613.7099609375,223438200,2024-07-10,1618.3800048828125
2024-07-11,1623.1199951171875,1623.1199951171875,1628.3499755859375,1620.02001953125,1621.1600341796875,266203500,2024-07-11,1623.1199951171875
2024-07-12,1619.06005859375,1619.06005859375,1622.969970703125,1616.219970703125,1622.72998046875,235110500,2024-07-12,1619.06005859375
2024-07-15,1629.8199462890625,1629.8199462890625,1632.68994140625,1619.18994140625,1619.8599853515625,224771200,2024-07-15,1629.8199462890625
2024-07-16,1625.9599609375,1625.9599609375,1633.969970703125,1624.3900146484375,1631.72998046875,234839500,2024-07-16,1625.9599609375
2024-07-17,1633.5400390625,1633.5400390625,1638.030029296875,1629.8900146484375,1629.97998046875,205720300,2024-07-17,1633.5400390625
2024-07-18,1633.81005859375,1633.81005859375,1634.239990234375,1627.9300537109375,1633.699951171875,247984400,2024-07-18,1633.81005859375
2024-07-19,1636.550048828125,1636.550048828125,1638.2900390625,1632.530029296875,1634.06005859375,209483800,2024-07-19,1636.550048828125
2024-07-22,1622.0699462890625,1622.0699462890625,1637.1199951171875,1616.739990234375,1637.1199951171875,197940000,2024-07-22,1622.0699462890625
2024-07-23,1629.6800537109375,1629.6800537109375,1632.5,1625.22998046875,1625.22998046875,208960700,2024-07-23,1629.6800537109375
2024-07-24,1621.1400146484375,1621.1400146484375,1631.31005859375,1619.7099609375,1631.31005859375,167169600,2024-07-24,1621.1400146484375
2024-07-25,1615.1800537109375,1615.1800537109375,1618.0,1610.5799560546875,1617.0799560546875,161845600,2024-07-25,1615.1800537109375
2024-07-26,1612.8800048828125,1612.8800048828125,1616.8299560546875,1610.6500244140625,1613.989990234375,157390600,2024-07-26,1612.8800048828125
2024-07-29,1624.56005859375,1624.56005859375,1625.550048828125,1616.3499755859375,1617.1600341796875,169030700,2024-07-29,1624.56005859375
2024-07-30,1611.93994140625,1611.93994140625,1629.3699951171875,1611.93994140625,1624.780029296875,188249200,2024-07-30,1611.93994140625
2024-07-31,1625.5699462890625,1625.5699462890625,1627.93994140625,1611.5999755859375,1613.3299560546875,223534700,2024-07-31,1625.5699462890625
2024-08-01,1624.25,1624.25,1626.3499755859375,1621.43994140625,1625.8699951171875,176147500,2024-08-01,1624.25
2024-08-02,1611.050048828125,1611.050048828125,1619.31005859375,1607.75,1619.31005859375,244657700,2024-08-02,1611.050048828125
2024-08-05,1536.47998046875,1536.47998046875,1593.3599853515625,1532.239990234375,1593.3599853515625,560210500,2024-08-05,1536.47998046875
2024-08-06,1574.3900146484375,1574.3900146484375,1574.3900146484375,1529.0899658203125,1542.1400146484375,352168600,2024-08-06,1574.3900146484375
2024-08-07,1591.8699951171875,1591.8699951171875,1596.5999755859375,1563.77001953125,1576.1199951171875,240479600,2024-08-07,1591.8699951171875
2024-08-08,1590.3800048828125,1590.3800048828125,1593.239990234375,1579.68994140625,1585.9599609375,214625200,2024-08-08,1590.3800048828125
2024-08-09,1596.050048828125,1596.050048828125,1604.06005859375,1591.75,1601.1600341796875,170811600,2024-08-09,1596.050048828125
2024-08-12,1606.6600341796875,1606.6600341796875,1609.5699462890625,1598.530029296875,1598.530029296875,161802300,2024-08-12,1606.6600341796875
2024-08-13,1609.52001953125,1609.52001953125,1609.52001953125,1598.300048828125,1605.8399658203125,165937700,2024-08-13,1609.52001953125
2024-08-14,1612.3499755859375,1612.3499755859375,1613.6300048828125,1606.489990234375,1611.7900390625,168958900,2024-08-14,1612.3499755859375
2024-08-15,1612.93994140625,1612.93994140625,1614.68994140625,1605.68994140625,1614.6300048828125,168628700,2024-08-15,1612.93994140625
2024-08-16,1623.9000244140625,1623.9000244140625,1624.7099609375,1617.1800537109375,1622.199951171875,192800500,2024-08-16,1623.9000244140625
2024-08-19,1648.699951171875,1648.699951171875,1653.3499755859375,1624.5799560546875,1625.1400146484375,400059100,2024-08-19,1648.699951171875
2024-08-20,1642.77001953125,1642.77001953125,1660.2900390625,1637.449951171875,1649.56005859375,435814900,2024-08-20,1642.77001953125
2024-08-21,1635.3199462890625,1635.3199462890625,1646.3800048828125,1633.6400146484375,1641.719970703125,229135100,2024-08-21,1635.3199462890625
2024-08-22,1641.6600341796875,1641.6600341796875,1642.1400146484375,1634.68994140625,1640.3299560546875,258146100,2024-08-22,1641.6600341796875
2024-08-23,1635.739990234375,1635.739990234375,1644.43994140625,1633.31005859375,1643.3299560546875,157513400,2024-08-23,1635.739990234375
2024-08-26,1638.9599609375,1638.9599609375,1643.949951171875,1634.719970703125,1639.8199462890625,191621700,2024-08-26,1638.9599609375
2024-08-27,1652.2900390625,1652.2900390625,1653.1199951171875,1639.1600341796875,1639.1600341796875,281615500,2024-08-27,1652.2900390625
2024-08-28,1675.239990234375,1675.239990234375,1681.3699951171875,1657.77001953125,1657.77001953125,436809600,2024-08-28,1675.239990234375
2024-08-29,1653.550048828125,1653.550048828125,1684.6800537109375,1651.72998046875,1672.949951171875,333067600,2024-08-29,1653.550048828125
2024-08-30,1678.800048828125,1678.800048828125,1679.8499755859375,1651.0999755859375,1658.47998046875,713923400,2024-08-30,1678.800048828125
2024-09-02,1678.18994140625,1678.18994140625,1683.4300537109375,1671.9000244140625,1680.3599853515625,207989000,2024-09-02,1678.18994140625
2024-09-03,1676.6500244140625,1676.6500244140625,1684.06005859375,1673.8599853515625,1677.8199462890625,216652100,2024-09-03,1676.6500244140625
2024-09-04,1670.239990234375,1670.239990234375,1675.530029296875,1662.219970703125,1662.6500244140625,231641900,2024-09-04,1670.239990234375
2024-09-05,1664.8199462890625,1664.8199462890625,1677.4599609375,1663.1800537109375,1670.550048828125,301092500,2024-09-05,1664.8199462890625
2024-09-06,1653.1199951171875,1653.1199951171875,1671.8299560546875,1648.4200439453125,1669.469970703125,338233700,2024-09-06,1653.1199951171875
2024-09-09,1651.489990234375,1651.489990234375,1659.1099853515625,1642.31005859375,1647.199951171875,344983500,2024-09-09,1651.489990234375
2024-09-10,1660.3499755859375,1660.3499755859375,1661.0899658203125,1649.530029296875,1653.800048828125,343812800,2024-09-10,1660.3499755859375
2024-09-11,1639.800048828125,1639.800048828125,1654.3800048828125,1638.9000244140625,1653.5699462890625,289597400,2024-09-11,1639.800048828125
2024-09-12,1638.31005859375,1638.31005859375,1649.8699951171875,1637.9100341796875,1644.0400390625,260029100,2024-09-12,1638.31005859375
2024-09-13,1652.1500244140625,1652.1500244140625,1652.25,1638.43994140625,1642.6300048828125,234704000,2024-09-13,1652.1500244140625
2024-09-17,1664.280029296875,1664.280029296875,1664.989990234375,1651.550048828125,1654.31005859375,0,2024-09-17,1664.280029296875
2024-09-18,1660.5899658203125,1660.5899658203125,1664.780029296875,1654.0,1664.3299560546875,174843900,2024-09-18,1660.5899658203125
2024-09-19,1665.6500244140625,1665.6500244140625,1665.8399658203125,1657.1300048828125,1663.27001953125,297365300,2024-09-19,1665.6500244140625
2024-09-20,1668.8199462890625,1668.8199462890625,1674.0400390625,1668.47998046875,1670.6800537109375,512720600,2024-09-20,1668.8199462890625
2024-09-23,1665.300048828125,1665.300048828125,1671.6199951171875,1658.47998046875,1669.9100341796875,234422400,2024-09-23,1665.300048828125
2024-09-24,1670.3699951171875,1670.3699951171875,1671.469970703125,1665.510009765625,1667.25,209130800,2024-09-24,1670.3699951171875
2024-09-25,1673.3800048828125,1673.3800048828125,1675.72998046875,1665.18994140625,1674.06005859375,239938800,2024-09-25,1673.3800048828125
2024-09-26,1671.3199462890625,1671.3199462890625,1672.5999755859375,1666.18994140625,1670.18994140625,223455500,2024-09-26,1671.3199462890625
